,False,True,percentage
PRNMCHLD_c_1,68735,98235,0.588339222614841
PRNMCHLD_c_2,18220,8749,0.32440950721198414
PRNMCHLD_c_3,16997,7492,0.3059332761648087
PRNMCHLD_c_4,8592,3388,0.2828046744574291
PRNMCHLD_c_5,746,266,0.2628458498023715
PRTAGE_c_1,5373,62625,0.9209829700873555
PRTAGE_c_2,18881,9015,0.32316461141382274
PRTAGE_c_3,26101,12070,0.3162086400670666
PRTAGE_c_4,25435,12251,0.3250809319110545
PRTAGE_c_5,21528,12365,0.3648245950491252
PRTAGE_c_6,12545,7706,0.38052441854723223
PRTAGE_c_7,3427,2098,0.37972850678733033
PTDTRACE_1,88640,89529,0.5024948223316065
PTDTRACE_2,13843,16504,0.5438428839753517
PTDTRACE_3,1176,1388,0.5413416536661466
PTDTRACE_4,7311,6183,0.45820364606491776
PTDTRACE_5,452,427,0.4857792946530148
PTDTRACE_6,624,1674,0.7284595300261096
PTDTRACE_7,525,832,0.6131171702284451
PTDTRACE_8,391,922,0.7022086824067022
PUBUS1_1,603,169,0.2189119170984456
PUBUS1_2,2644,1286,0.3272264631043257
HRYEAR4_2019,8719,42803,0.830771320989092
HRYEAR4_2020,23040,26900,0.5386463756507809
HRYEAR4_2021,31207,18138,0.36757523558617894
HRYEAR4_2022,29753,18565,0.3842253404528333
HRYEAR4_2023,20571,11724,0.3630283325592197
EMPSTAT_1,12236,862,0.06581157428615056
EMPSTAT_2,24421,2387,0.08904058490002985
TELEALL_1,11512,862,0.06966219492484241
TELEALL_2,73415,2387,0.031489934302525
PEAFNOW_2,113259,55958,0.33068781505404304
PEMLR_1,87497,35657,0.2895318057066762
PEMLR_2,2738,2390,0.4660686427457098
PEMLR_3,0,1800,1.0
PEMLR_4,0,4293,1.0
PEMLR_6,0,11737,1.0
PEMLR_7,23054,0,0.0
PEHRWANT_1,1367,2387,0.6358550879062334
PEHRWANT_2,9632,656,0.06376360808709176
PEHRWANT_3,2604,206,0.07330960854092526
PESCHENR_2,82711,39820,0.32497898490994115
PEDWWNTO_1,3107,4,0.0012857602057216328
PEDWWNTO_2,19420,77,0.003949325537262143
