,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
GEDIV__1,-0.3328594864011451,0.08416604841289108,-0.029489766734577427,-0.9784266203659554,-0.18480672520829888,-1.4910069992409962,-0.4557834406678302,-0.5382891914883213,1.0590341324944827,-0.2968890366813983,-3.006043326304409,1.8537377616617878,-0.4250976350617514,-0.2689576637484693,-0.013488468022788616,0.09315521592823864,-0.04409858041345457,0.16945494597972466,-0.18884382651469728,0.013026773471989548,0.18938476557683098,0.08988420748466434,0.1303243365480828,0.03373336465790559,-0.03787585265484303,-0.18754835184819857,0.02120960201791379,-0.013313913126897474,0.031910374006450845,-0.07138107868563441,0.00232350561234824,0.03200407998244153,-0.06618290594267165,0.01271537777465932,0.007029930070728018,-0.055981519780759784,-0.013605662619634265,0.03124276532950918,0.06222393899215559,-0.00526147443295851,0.0301965736071965,0.041113702873237144,-0.013567977572214205,-0.006898913511364433,0.03764699374080928,0.010507431088498113,-0.019758675016660572,-0.006870110797346828,-0.00569857890293876,0.02685254738014872
GEDIV__2,-0.042102526615128345,-0.0666812428688746,0.2238535298256786,-1.1888426722701668,0.5795099001511185,0.04179447901995918,-1.3921896162640404,-0.8309811432590654,0.8794007059090975,0.9055783363520198,1.4531385961137082,0.23987509495523013,0.21324463449083916,-0.352558644692704,0.18557101602523848,-0.028388115938611305,-0.11852517325623435,0.11807488234910951,-0.08080091023745917,-0.17592365329589987,0.31234097350972845,0.004117954018619738,0.15895375955315622,0.002597110580545907,0.21937025567305665,-0.11106073116937763,0.03188872222223444,0.04981861506396912,-0.011117187736512107,-0.02625548831698513,0.002143443747684492,0.05448413362362813,-0.05064341318992577,0.03804165478584321,0.01203002718958964,-0.04706622764137528,-0.03795956525496083,0.008586398246535855,0.012702015334158913,-0.0045901868477280575,-0.0007569041645160864,-0.009829831669680694,-0.027702132734143143,0.007028279513005197,0.017458355121668552,-0.00929661886550726,-0.026174665918270532,-0.012799167233137395,0.005485485052895336,-0.0008799331618216693
GEDIV__3,-0.33775379965858926,0.5597617871164722,-0.17793701323374678,0.18268545125098612,0.6068989328575508,-0.173228492943344,-0.5616090731655444,0.30757211156431774,-1.8629295719633805,-0.4957338403477717,0.2265355202599695,0.6367035883296593,-0.08216118191160672,-0.3615939581985449,-0.25429996266284227,0.21614532022493488,-0.04209540893916196,-0.10957502390167564,0.16867244710444249,-0.04502431711019925,-0.22913646708042365,0.07376477231871326,0.049880030804520775,-0.008448416257326619,0.09696593052153561,-0.07948313565909906,-0.04626218611367279,0.017701413282110213,0.0702101933272402,0.012638548978375132,0.0047662852831178845,-0.018213782786320895,0.024024878261244914,0.020971001652512086,-0.020248793797765004,-0.023372632891990156,-0.01099342430435645,-0.0007596924236803802,0.013526432447151137,-0.006240212218988883,0.004688007533450527,0.022232261624148732,-0.0037753003116010706,0.0264194997831558,0.02801432662951593,-0.012146987704280753,-0.0025998226004834814,-0.01720204458473848,0.00831049086749927,-0.003296362281551503
GEDIV__4,-0.3666085694800484,0.6725118200656699,-0.41171388543319937,1.0028677219386672,1.3249083959712935,-0.48448084791018203,0.20933431318333448,1.1430912769710446,1.030083169343653,1.2282741254122673,-0.5247433250281981,-1.3449739888021235,-0.3972537204390494,-0.7151151335558452,-0.30955693748892366,0.18346465276343465,0.052330461127854756,-0.1600135595566511,0.21058732303307007,0.02287915298415337,-0.4874673564294159,0.020561215948406812,-0.0998981950231162,0.09028681379271905,0.03704001165407571,0.058528407381658994,-0.05598540318139627,-0.08354208730657432,0.10621212467159448,-0.007706058853266879,0.05579442884281434,0.0321264123464104,-0.018525571783059098,-0.012642148347973187,-0.005613322180985737,-0.043944129819153535,-0.009230623252691117,-0.045880793958328746,0.005898703482171316,-0.03297285140784755,-0.0073326296602465495,0.021252617376855763,-0.01208923386768774,0.031221089412779922,0.016262374631411097,0.010320708926728159,-0.014174213211684349,-0.02040727230574828,-0.0025663281596877193,0.018035531117458228
GEDIV__5,0.32228824704453496,0.06706041283626776,-0.5542995362592296,-0.5064514625486878,-0.7737442671660584,0.9205678954055435,-0.06623102938892185,1.1962488543438048,0.44679511962362506,-0.5965014882468834,0.051534872110575475,-0.03179623030609027,-0.19891456289175818,0.30253135017900595,0.2568120854430237,0.04629327959295829,-0.0021724959585655203,0.10631234002111066,0.0017757366665720458,-0.07554415110304791,-0.05890369884173479,-0.09435619943490724,0.08221129612307908,0.017843424570327875,0.0916312013920586,-0.054593756846852054,0.02652130337626751,0.005541664468355432,-0.07633031487415415,0.011857860265527858,-0.05285434220492533,-0.04144551688556711,-0.038609979592674926,0.04271709096989908,0.008131770237888122,0.08564107993584466,-0.0013119173132984292,0.03503838809963777,0.001014027015137957,0.027421885596677492,-0.015982446387502913,-0.028423631176236818,-0.015985632877242046,-0.04417694518472701,-0.045965350438419296,-0.00475098522967912,-0.00810890436249023,0.017656235035767732,0.007616480638193192,-0.0211841104214818
GEDIV__6,0.0907683931497849,0.8627977993428504,-1.1717280991597026,0.7033945438469775,0.08017359568889226,1.4341419110829834,1.103871733321538,-2.3380103776294248,0.3223393743300297,-0.1403636421237658,-0.25496079792138465,0.18267359038068443,0.6294968536731841,0.04509785796152262,-0.10064484868827162,0.3917002581717833,0.26039067615607386,0.0011459574007993288,0.1040749264339232,-0.09198155373083004,-0.6922486145773813,-0.17034906811903142,-0.031666230720346966,0.07210445243853995,0.13332100475327255,0.08169269693230104,-0.11935545707063194,-0.039139478528432664,-0.024701364389548574,0.02722141295460499,-0.05956212062272181,-0.011931575657123168,-0.048608479944118176,0.023991737428321357,0.02395524917013127,0.06456525841236661,0.008349081605474526,0.04863701662216507,-0.020497034696911248,0.006922090053284879,0.020808944062367874,0.032644473154521396,-0.043395973280861366,-0.012830784845405927,-0.044015234286101,0.010442234141932252,-0.0024726610868340236,0.027217132852909484,-0.0004057297951944152,-0.01118917782481036
GEDIV__7,0.3652843386122821,-0.2449315626153651,0.2839499743829666,0.6130299053052626,-1.634882561499003,-0.436973501004462,-0.030482769916961062,-0.2196281654857683,-0.7477710433375139,1.6536068862304898,-0.09551831204644803,-0.11121444108437929,0.00304001282574299,0.39784729323412826,0.027559050439333543,-0.1918988326419187,0.11823802984982194,-0.013863690167574315,-0.19445262598494611,0.3703987302617318,0.08319487601326848,0.10687011751069471,-0.06576875178177734,0.007717190810265414,-0.15626652347254488,0.046377280593324896,0.06400359711289168,0.010974685867968915,-0.04835148311203357,0.08847617648550075,0.012696367835078243,-0.04931123458167754,0.06766026119386433,-0.04106751058864992,-0.008400084935389497,0.053460918886149025,0.05850312219806146,0.01636012095423434,-0.016207175390613053,0.0037873415195866364,0.014286133403401556,-0.00030394008126770626,0.016990192068645372,-0.029989189753594415,-0.020270194443170048,-0.001038206044014333,-0.008291733654689324,0.03286184810879583,-0.013166980685154967,-0.017476005070410836
GEDIV__8,0.06305273959390446,-0.25244743500651035,0.44253412843604367,1.1873182044978114,-0.4912912995327219,-1.5267862784374138,0.16021863242089132,-0.42373761404699095,0.9352359492369077,-1.823736098716651,1.1735787853510211,-0.19497136037565285,-0.2178193232146174,-0.011168871702113592,-0.2556308710324469,-0.0728464962486575,0.20707582522440166,-0.10528096459471925,-0.1694932736436925,0.35599616439119974,0.03798607198634782,0.18256543233387176,-0.2425690007655251,-0.05792785742681012,-0.2561832427594072,0.09871686614479692,-0.02265830576104109,-0.01571086716887625,0.011141996956026844,-0.020347554247316945,0.018920681142539506,-0.033149608082235237,0.020802397006058636,-0.04081200950337497,0.00960274838089792,-0.01662298597634178,0.016438586706952252,-0.027704476106682318,-0.012972939594612092,0.00848398144824534,0.00968743604362575,-0.00808137341678239,0.05221115975708695,0.020299302939275295,-0.015287733484995191,0.012798529898125452,-3.6388635447222014e-05,-0.02299101436856033,-0.00406660669582436,0.03456310272868554
GEDIV__9,-0.08157446320487441,-0.9960999494657701,0.9594003658239064,-0.43315048140053886,0.7816338008324422,0.323925147004959,0.9717811013923243,-0.09517146688089902,-0.36542205522229726,-0.1813106970405101,-0.3856635300478318,-0.5026361810688385,0.3471673094186836,0.3624966131732023,0.14598096546294936,-0.35336956494067934,-0.21309152457610459,-0.004328912754049997,0.03853155006021177,-0.2024687984324899,0.4975516351275773,-0.10379308488370881,-0.039461166954139475,-0.08010017714612899,-0.14801338426604557,0.11405941030574929,0.03156185633991695,0.011330634881946387,0.00606301104517966,-0.048059386101164385,0.03228265769507324,0.06190510605162251,0.047062802384772395,-0.048673016013711684,-0.007762428005207095,-0.06545758859546504,-0.010948481997200943,-0.0507639601526723,-0.01707841799688293,-0.014442062489895258,-0.016846439629982918,-0.016076934889499406,0.0293072644487058,0.02540960356712512,0.03838742788919191,0.0028560055780095985,0.05003744407512275,-0.007807838280174806,-0.004458492889966905,0.00909504881037425
GESTFIPS__1,0.034932343947092874,0.9436372954557452,-1.2323675947256476,0.6512276546353762,-0.016473896976045777,1.4603500694533473,1.1451180739307678,-2.3430810293517363,0.33197584053708556,-0.13907596677301043,-0.24121910051176154,0.13700792234015785,0.6613453391391361,0.07800443899945694,-0.21453454089629584,0.4131738296025044,0.08134589223055552,-0.11368389819074773,-0.018135875920856893,-0.23487467122620478,-0.5193508151138451,0.002081168415321476,-0.2832435137074978,-0.0912087226691972,-0.04419073279712188,-0.1948508135275264,0.18041515194748192,-0.16449891303274036,0.4699284357746041,-0.1918539379657939,0.06952902503750528,-0.4229489667099987,-0.13814675247143085,0.09916507498374474,0.34065629697718547,0.23155987954836058,0.3682468651222883,-0.3497405420305214,-0.5625840857543908,0.3784940968289729,0.3317370332755959,-0.19344013830320478,-0.5213313798723807,0.7827328283724808,0.38488949678661666,-0.7386535811710266,0.3172369161496452,0.461690054145044,-0.7026289333233111,-0.04009376771190616
GESTFIPS__2,-0.39104351397331955,-0.3713988895613789,0.9390744221299933,-0.11555470681354538,0.8392197197021924,0.2956867578893455,1.0388350797191708,-0.12129846643472571,-0.2729481429446024,-0.27593185294966066,-0.39326200220660584,-0.634055116562044,0.5187144076452153,0.9250786306680463,1.157243194953773,-0.5077691790009421,-1.5262643664731264,0.4980145279774128,0.013025028029032838,-0.2307985975583932,1.4036796417688042,1.3394870677281119,0.7223928800559796,0.8735914690364579,-1.0216644440877427,-1.5530769989624718,-0.011830670669934934,3.416428488998224,2.6594480004484535,5.573801558176824,1.6423268656428187,3.5375728600668044,-0.524893675804204,1.7907777923272632,-0.7937607230694894,3.193048961195824,0.657485650863696,0.6485464252875364,1.2751071988317448,-0.36539631403602435,2.2708570727791693,1.6443653365647874,-0.45817550787223654,-1.1898319710646699,0.3972991441341201,-0.3353150089093953,1.4719657539370663,-0.9260666276095249,0.527324573310886,1.9872512238313997
GESTFIPS__4,0.20671226206060916,-0.39251564363393426,0.6419455134319356,1.1720349577553875,-0.6508885748887152,-1.6384462891249059,0.24269119822988675,-0.4186817239933391,0.9607278747386423,-1.7770918360333166,1.2491540997135349,-0.07446160147121722,-0.3180452164611939,-0.0818018500734278,-0.25522118368027097,-0.13531601080192399,-0.0721123018539736,0.010433898263778265,0.25932745239675836,-0.2453127324141966,-0.831836988053369,0.004337997039996717,0.07516222156121288,-0.11780989167871776,-0.16713374064199826,0.31852604999345546,-0.15723542351532607,-0.44554320907491435,-0.42983860526632,-0.14550511054979248,-0.42752946854132606,-0.10084516691825074,0.36134901959621085,0.3687867979658283,0.5098085583480854,-1.045059604300165,0.22213021211671508,-0.9100819391162969,-0.3538551365601806,0.22880887667420036,0.036765551107040044,-0.3566542860948742,-0.23225605107315167,-0.42367999891884134,0.5346423223390854,-1.4368726243705918,0.3697249143485516,0.10058599710622503,0.5986600228167629,-0.18827730676464507
GESTFIPS__5,0.2566803589762875,0.11124702177034838,0.07681115964967163,0.6980827403040679,-1.423356907717367,-0.324594370561142,-0.03601259751386628,-0.22177538864840587,-0.7494843802522535,1.629478226643946,-0.1339896297402015,-0.12116506857901117,-0.03299933435928196,0.357685983371359,0.31066941189219854,-0.3796176042922001,0.1797474135151969,-0.0325226171131026,-0.7365438333041894,0.7307471828479559,1.2589226133950273,0.4001145792662726,-0.3711962092089451,-0.2408665605858138,-0.5993956918106134,-0.22240102351733987,0.6246909405595509,0.5353663748326295,-0.7469441681331034,-1.073581090735201,0.49573340565058444,0.15754384124552798,1.1427010166003808,-0.8486691053404253,0.0964903270252916,0.9487276327756533,1.4782182627201408,-1.142300721377531,1.1181097572000671,-0.5505544532172179,0.8848182463230656,0.33688029384311186,0.5148642085452884,0.4526383700188155,-0.26984510603443757,-0.7646335835517705,-0.7300775323902069,1.4240433552922245,1.847448943199897,-1.2428012413627585
GESTFIPS__6,-0.011805523799878462,-1.1844691663630058,0.99782619614525,-0.4361687583912976,0.7521767133813753,0.35044269859725774,0.9111887513010466,-0.10567856819595783,-0.3741620797408011,-0.17436950879856805,-0.40279480092080816,-0.512375767528556,0.30766386305696597,0.28812562766542166,-0.060309400834161496,-0.10537280151014804,0.0556466425500451,-0.01008172383930542,0.158649749937621,-0.46174619740415296,0.3487845519417135,-0.23845556795534426,-0.06011772584211289,-0.04045301233063555,-0.3107727199279593,-0.05477664426192063,0.05952667099667314,-0.230434230151015,-0.040740217945299036,-0.19211756682919656,0.2528801165864894,0.0435598992504621,-0.10587138768418748,-0.08967123048167575,0.1154168129075373,0.05569446459956588,0.057037015331783486,-0.03850198901139381,-0.3042548926952027,-0.15774293412140625,-0.33314770360361856,-0.06389677704945079,0.1734448598620788,0.15122705900827743,-0.05773264431022529,-0.07760770886406988,0.04374102395885047,0.1938070810028167,-0.08049057289420083,0.13553555032947276
GESTFIPS__8,0.12380881922097615,-0.1607431371351845,0.36462986392373903,1.0888818656502373,-0.31874584646605464,-1.5226414323906896,0.16415249341723895,-0.39531585693425436,0.8889281994695508,-1.8373590283504788,1.1265284384641072,-0.2812633066304262,-0.15533874547204796,0.0022168491717942905,-0.2944062299644861,0.13749546621305564,0.7798338782938116,-0.15614877337558916,-0.6341977928933967,0.8115898617713893,0.43896429918287594,0.1930921902206903,-0.46520278271099424,-0.3743494242752292,-0.27025297860197267,0.38057164183459014,0.11599053580762077,1.028264140171516,-0.022089972668499547,-0.29035891490807403,-0.2687100243176164,-0.13417269576177365,-0.5105368763137809,-0.6770976837021556,-0.38492522868059453,0.7325610363143792,0.4259714493337507,-0.6617201649193476,-1.2480275369789056,-0.17316912885102426,1.1294789299280859,-0.9776076768566918,-0.6830974020743245,0.74115075871931,-0.32273375479981126,0.6993737746604364,-0.2113251960717855,0.20449072444316152,-0.2102835755528592,-0.30168495852130733
GESTFIPS__9,-0.29914647653234333,-0.017775692555283138,0.102326238897398,-1.0846235603557923,-0.16806493135354864,-1.3578657124468274,-0.494699540297254,-0.5369315055533703,1.0745195741695428,-0.28924040360084735,-3.0134633314614248,1.8960390267028104,-0.5595776983096484,-0.30262870470558106,-0.1620780715228075,0.3185313258813303,0.14603808628787882,0.19120053104951604,-0.2990905845416074,0.2963593278157246,-0.18647655391850237,0.1389401191366109,0.051434281418507484,0.30282367256218423,-0.15007290491419806,0.17529099878958346,-0.21961207326562324,-0.2717121671648011,0.06029016096598696,-0.02659554013363517,-0.14116414101138267,-0.6125986692478248,1.0450861352215235,-0.058816668062158295,-0.6002967428315604,0.4445561675619524,-1.1060688423393543,0.6634892558980784,0.5592958293022198,-0.9918326304961703,1.3539545619320956,-0.44140016184485026,1.315836906183122,2.154122001605464,-0.535844490563145,-0.11953367086188124,-0.1325044271291745,0.309707857187158,0.34503135669026586,0.3862372165083108
GESTFIPS__10,0.3129989424775607,0.10388675835545218,-0.6091179956620093,-0.5935196058134686,-0.7216146243778092,0.9214126030465718,-0.17802743932600099,1.200416119900703,0.4242013547116545,-0.5999885981013438,0.078703724435346,0.04023863154216035,-0.22985827005008844,0.40890610589417076,0.639775311235545,-0.35027771516072187,-0.3079575166983013,0.06085712237186907,0.11481807142189275,0.2608691473777748,-0.4523641107871111,-0.0849761894341349,-1.3307636820305557,1.7589315711827285,-0.5316287302949496,0.16399880335403735,-0.08659671216942094,-1.2124295978591426,-0.3713349264490558,-0.6697143598549578,0.8200200764780575,1.584664542944985,-0.11264431499012627,-1.1044721640215232,1.8196510778578279,-0.13132727675461495,-0.09801520919211987,-0.0410544793165128,1.1674739006270636,0.31134415158439227,2.0938843248556114,-1.068307896060981,-1.1253968121323514,-0.8708514009243865,-0.06961104071592822,-1.9427695954814792,1.7272652091817575,1.8968725964243254,-1.4656272414704299,-0.1722525127449137
GESTFIPS__11,1.3015843113916028,-0.05016483621308404,-0.33441015935174917,-1.104811762505609,-0.7930789356453022,0.7894068191376774,0.10383503048909752,1.2317398557205834,0.3618831047776281,-0.6214945863393208,0.01963012703594976,-0.13957647914868188,0.1789619802178377,-0.4819832270473585,-0.6374200425906681,0.3689889409003163,-0.37384995326956844,0.04334922184264417,0.1525955352354248,0.2644080307629603,-0.9810145361388078,0.24640637737036614,0.8338160293491798,0.667019396995104,-1.1465621793649883,1.1993399247448675,-2.6783976826739706,1.0519278165705384,-0.3061149102929368,-5.242450185841861,-2.2514540844869475,1.02582045823772,-0.6809463060667309,2.471682555317417,1.1935235797775623,2.5084531906688077,0.8741266110042393,-3.352472819399025,3.6221267455887003,-2.516913641630465,-0.9823251954042377,-0.5191534063315977,6.498094348868867,-0.010222139552138632,1.5715004403191095,2.8620536523599536,1.5972703126329293,-3.7052298263897376,-3.9998976836286912,-2.093802401552412
GESTFIPS__12,0.3465256744648666,-0.13798602300408705,-0.39018036976591064,-0.6415893261850732,-0.8159808371631928,0.8418035883974632,-0.022167521087290393,1.200088168683391,0.4432981698183806,-0.5790566992837077,0.06780999320750172,-0.03385964786511002,-0.30342230182128005,0.2706379242673254,0.015017572699073611,0.448611424975914,0.41467509742639364,0.10779367271862306,0.15373341110672908,-0.22607247630706206,-0.48270054982244887,-0.48749731753189834,0.32265102396201994,-0.009977996142032243,0.9040015161527541,0.5330746665790055,-0.012117242240315193,-0.21570648212469395,-0.28401317018849165,0.7295394617993458,-0.18507539904898615,-0.5371673818786863,0.6432373139496372,0.02240823582771285,-0.50874105293347,0.08522213023631613,-0.25635453709387696,-0.20378966790908926,0.23098761225006278,0.1967524650550645,-0.002648785624869898,0.024053354557756507,0.380625619529344,-0.01421857891739489,0.17240717131262162,-0.12283931748167488,0.5794971215334186,0.025002989012146683,-0.681134777626389,0.11848486964274799
GESTFIPS__13,0.371019168328601,0.1065591674395391,-0.692194495602784,-0.41577987887113294,-0.7916105278541798,1.0379069682760245,-0.10953887602460308,1.2076912255549892,0.45336990072174815,-0.6021430830935737,0.036991665667973975,-0.007105119276489343,-0.053237006730646616,0.1637564807125831,0.18799817750962644,-0.03775980760503141,-0.428375317285096,0.2128016038244078,-0.1564313187134323,0.031528993670040806,0.07781946720532938,0.2860998762485101,-0.08786625212700416,-0.13669226427620892,-0.6484534993678757,-0.13110599585969435,0.19648603406365747,0.15468157232016702,0.03901518076560039,-0.43296370499291775,0.7731774866595534,0.14882646385388998,-0.3611355258363326,0.9360907321033083,0.2771102678795885,0.27489226072794903,-0.13021324356100403,-0.8652734137905342,0.5495430884844125,-0.6829454831875519,0.42410044235956157,-1.1282013894861165,-0.4722291556505582,-0.907936369193706,0.21219389993412976,0.2387891787463952,0.11926589450634598,0.3280968191918293,0.23591078477017619,0.8683047602680777
